taxon_name,fire_intensity,fire_severity,fire_season,trait_name,value,aligned_name,source
Auranticarpa resinosa,NA,NA,NA,fire_response,fire_killed,Auranticarpa resinosa,APC list (accepted)
Auranticarpa resinosa,low,NA,NA,fire_response,resprouts,Auranticarpa resinosa,APC list (accepted)
Austrostipa drummondii,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Austrostipa drummondii,APC list (accepted)
Austrostipa macalpinei,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Austrostipa macalpinei,APC list (accepted)
Avena fatua,NA,NA,NA,fire_response,fire_killed,Avena fatua,APC list (accepted)
Avena fatua,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Avena fatua,APC list (accepted)
Axonopus fissifolius,NA,NA,NA,fire_response,resprouts,Axonopus affinis,APC list (known names)
Axonopus fissifolius,NA,NA,NA,fire_response,resprouts,Axonopus fissifolius,APC list (accepted)
Babiana angustifolia,NA,NA,NA,fire_response,resprouts,Babiana angustifolia,APC list (accepted)
Babiana nana,NA,NA,NA,fire_response,resprouts,Babiana nana,APC list (accepted)
Babiana tubulosa,NA,NA,NA,fire_response,resprouts,Babiana tubulosa,APC list (accepted)
Baeometra uniflora,NA,NA,NA,fire_response,resprouts,Baeometra uniflora,APC list (accepted)
Baloskion,NA,NA,NA,fire_response,resprouts fire_killed,Baloskion,APNI names
Baloskion,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Baloskion,APNI names
Baloskion australe,NA,NA,NA,fire_response,fire_killed,Baloskion australe,APC list (accepted)
Baloskion australe,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Baloskion australe,APC list (accepted)
Baloskion fimbriatum,NA,NA,NA,fire_response,resprouts,Baloskion fimbriatum,APC list (accepted)
Baloskion gracile,NA,NA,NA,fire_response,fire_killed,Baloskion gracile,APC list (accepted)
Baloskion gracile,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Baloskion gracile,APC list (accepted)
Baloskion longipes,NA,NA,NA,fire_response,resprouts,Baloskion longipes,APC list (accepted)
Baloskion pallens,NA,NA,NA,fire_response,resprouts,Baloskion pallens,APC list (accepted)
Baloskion stenocoleum,NA,NA,NA,fire_response,resprouts,Baloskion stenocoleum,APC list (accepted)
Baloskion tenuiculme,NA,NA,NA,fire_response,fire_killed,Baloskion tenuiculme,APC list (accepted)
Baloskion tenuiculme,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Baloskion tenuiculme,APC list (accepted)
Baloskion tetraphyllum,NA,NA,NA,fire_response,fire_killed,Baloskion tetraphyllum,APC list (accepted)
Baloskion tetraphyllum,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Baloskion tetraphyllum,APC list (accepted)
Baloskion tetraphyllum subsp. meiostachyum,NA,NA,NA,fire_response,fire_killed,Baloskion tetraphyllum subsp. meiostachyum,APC list (accepted)
Baloskion tetraphyllum subsp. meiostachyum,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Baloskion tetraphyllum subsp. meiostachyum,APC list (accepted)
Baloskion tetraphyllum subsp. tetraphyllum,NA,NA,NA,fire_response,fire_killed,Baloskion tetraphyllum subsp. tetraphyllum,APC list (accepted)
Baloskion tetraphyllum subsp. tetraphyllum,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Baloskion tetraphyllum subsp. tetraphyllum,APC list (accepted)
Banksia aculeata,NA,NA,NA,fire_response,fire_killed,Banksia aculeata,APC list (accepted)
Banksia aculeata,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia aculeata,APC list (accepted)
Banksia aemula,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia aemula,APC list (accepted)
Banksia aquilonia,NA,NA,NA,fire_response,resprouts,Banksia aquilonia,APC list (accepted)
Banksia ashbyi,NA,NA,NA,fire_response,fire_killed,Banksia ashbyi,APC list (accepted)
Banksia ashbyi,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia ashbyi,APC list (accepted)
Banksia ashbyi,NA,NA,NA,fire_response,resprouts,Banksia ashbyi,APC list (accepted)
Banksia ashbyi,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia ashbyi,APC list (accepted)
Banksia attenuata,NA,NA,NA,fire_response,resprouts,Banksia attenuata,APC list (accepted)
Banksia audax,NA,NA,NA,fire_response,resprouts,Banksia audax,APC list (accepted)
Banksia audax,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia audax,APC list (accepted)
Banksia baxteri,NA,NA,NA,fire_response,fire_killed,Banksia baxteri,APC list (accepted)
Banksia baxteri,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia baxteri,APC list (accepted)
Banksia benthamiana,NA,NA,NA,fire_response,fire_killed,Banksia benthamiana,APC list (accepted)
Banksia benthamiana,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia benthamiana,APC list (accepted)
Banksia blechnifolia,NA,NA,NA,fire_response,fire_killed,Banksia blechnifolia,APC list (accepted)
Banksia blechnifolia,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia blechnifolia,APC list (accepted)
Banksia brownii,NA,NA,NA,fire_response,fire_killed,Banksia brownii,APC list (accepted)
Banksia brownii,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia brownii,APC list (accepted)
Banksia burdettii,NA,NA,NA,fire_response,fire_killed,Banksia burdettii,APC list (accepted)
Banksia burdettii,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia burdettii,APC list (accepted)
Banksia caleyi,NA,NA,NA,fire_response,fire_killed,Banksia caleyi,APC list (accepted)
Banksia caleyi,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia caleyi,APC list (accepted)
Banksia candolleana,NA,NA,NA,fire_response,resprouts,Banksia candolleana,APC list (accepted)
Banksia candolleana,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia candolleana,APC list (accepted)
Banksia canei,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia canei,APC list (accepted)
Banksia chamaephyton,NA,NA,NA,fire_response,resprouts,Banksia chamaephyton,APC list (accepted)
Banksia coccinea,NA,NA,NA,fire_response,fire_killed,Banksia coccinea,APC list (accepted)
Banksia coccinea,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia coccinea,APC list (accepted)
Banksia cuneata,NA,NA,NA,fire_response,fire_killed,Banksia cuneata,APC list (accepted)
Banksia cuneata,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia cuneata,APC list (accepted)
Banksia dryandroides,NA,NA,NA,fire_response,fire_killed,Banksia dryandroides,APC list (accepted)
Banksia dryandroides,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia dryandroides,APC list (accepted)
Banksia elderiana,NA,NA,NA,fire_response,resprouts,Banksia elderiana,APC list (accepted)
Banksia elegans,NA,NA,NA,fire_response,resprouts,Banksia elegans,APC list (accepted)
Banksia elegans,NA,NA,NA,fire_response,resprouts,Banksia elegans,APC list (accepted)
Banksia elegans,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia elegans,APC list (accepted)
Banksia ericifolia,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia ericifolia,APC list (accepted)
Banksia ericifolia,NA,NA,NA,fire_response,fire_killed,Banksia ericifolia,APC list (accepted)
Banksia ericifolia,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia ericifolia,APC list (accepted)
Banksia ericifolia subsp. ericifolia,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia ericifolia subsp. ericifolia,APC list (accepted)
Banksia ericifolia subsp. macrantha,NA,NA,NA,fire_response,fire_killed,Banksia ericifolia subsp. macrantha,APC list (accepted)
Banksia ericifolia subsp. macrantha,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia ericifolia subsp. macrantha,APC list (accepted)
Banksia gardneri,NA,NA,NA,fire_response,resprouts,Banksia gardneri,APC list (accepted)
Banksia gardneri,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia gardneri,APC list (accepted)
Banksia goodii,NA,NA,NA,fire_response,resprouts,Banksia goodii,APC list (accepted)
Banksia grossa,NA,NA,NA,fire_response,resprouts,Banksia grossa,APC list (accepted)
Banksia grossa,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia grossa,APC list (accepted)
Banksia hookeriana,NA,NA,NA,fire_response,fire_killed,Banksia hookeriana,APC list (accepted)
Banksia hookeriana,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia hookeriana,APC list (accepted)
Banksia ilicifolia,NA,NA,NA,fire_response,resprouts,Banksia ilicifolia,APC list (accepted)
Banksia incana,NA,NA,NA,fire_response,resprouts,Banksia incana,APC list (accepted)
Banksia incana,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia incana,APC list (accepted)
Banksia integrifolia subsp. integrifolia,NA,NA,NA,fire_response,resprouts,Banksia integrifolia subsp. integrifolia,APC list (accepted)
Banksia laevigata,NA,NA,NA,fire_response,fire_killed,Banksia laevigata,APC list (accepted)
Banksia laevigata,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia laevigata,APC list (accepted)
Banksia lanata,NA,NA,NA,fire_response,fire_killed,Banksia lanata,APC list (accepted)
Banksia lanata,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia lanata,APC list (accepted)
Banksia laricina,NA,NA,NA,fire_response,fire_killed,Banksia laricina,APC list (accepted)
Banksia laricina,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia laricina,APC list (accepted)
Banksia lemanniana,NA,NA,NA,fire_response,fire_killed,Banksia lemanniana,APC list (accepted)
Banksia lemanniana,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia lemanniana,APC list (accepted)
Banksia leptophylla,NA,NA,NA,fire_response,fire_killed,Banksia leptophylla,APC list (accepted)
Banksia leptophylla,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia leptophylla,APC list (accepted)
Banksia lindleyana,NA,NA,NA,fire_response,resprouts,Banksia lindleyana,APC list (accepted)
Banksia lindleyana,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia lindleyana,APC list (accepted)
Banksia littoralis,NA,NA,NA,fire_response,resprouts,Banksia littoralis,APC list (accepted)
Banksia lullfitzii,NA,NA,NA,fire_response,resprouts,Banksia lullfitzii,APC list (accepted)
Banksia lullfitzii,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia lullfitzii,APC list (accepted)
Banksia marginata,NA,NA,NA,post_fire_recruitment,post_fire_recruitment no_post_fire_recruitment,Banksia marginata,APC list (accepted)
Banksia media,NA,NA,NA,fire_response,fire_killed,Banksia media,APC list (accepted)
Banksia media,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia media,APC list (accepted)
Banksia meisneri,NA,NA,NA,fire_response,fire_killed,Banksia meisneri,APC list (accepted)
Banksia meisneri,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia meisneri,APC list (accepted)
Banksia menziesii,NA,NA,NA,fire_response,resprouts,Banksia menziesii,APC list (accepted)
Banksia micrantha,NA,NA,NA,fire_response,resprouts,Banksia micrantha,APC list (accepted)
Banksia nutans,NA,NA,NA,fire_response,fire_killed,Banksia nutans,APC list (accepted)
Banksia nutans,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia nutans,APC list (accepted)
Banksia oblongifolia,NA,NA,NA,fire_response,resprouts,Banksia oblongifolia,APC list (accepted)
Banksia oblongifolia,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia oblongifolia,APC list (accepted)
Banksia occidentalis,NA,NA,NA,fire_response,fire_killed,Banksia occidentalis,APC list (accepted)
Banksia occidentalis,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia occidentalis,APC list (accepted)
Banksia oligantha,NA,NA,NA,fire_response,fire_killed,Banksia oligantha,APC list (accepted)
Banksia oligantha,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia oligantha,APC list (accepted)
Banksia oreophila,NA,NA,NA,fire_response,fire_killed,Banksia oreophila,APC list (accepted)
Banksia oreophila,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia oreophila,APC list (accepted)
Banksia ornata,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Banksia ornata,APC list (accepted)
Banksia ornata,NA,NA,NA,fire_response,fire_killed,Banksia ornata,APC list (accepted)
